"LCSC Part Number","Manufacture Part Number","Manufacturer","Customer NO.","Package","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price"
"C8598","B5819W SL","Jiangsu Changjing Electronics Technology Co., Ltd.","","SOD-123","40V 600mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS","YES","20","20\20","$0.033900","$0.68"
"C2689642","PTS636SK25SMTRLFS","C&K","","-"," -  Tactile Switches ROHS","YES","12","1\1","$0.097000","$1.16"
"C15525","CL05A106MQ5NUNC","Samsung Electro-Mechanics","","0402","6.3V 10uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","100","50\50","$0.003300","$0.33"
"C15008","CL31A107MQHNNNE","Samsung Electro-Mechanics","","1206","6.3V 100uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","15","5\5","$0.078400","$1.18"
"C1570","0402CG300J500NT","FH (Guangdong Fenghua Advanced Tech)","","0402","50V 30pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","100","100\100","$0.001100","$0.11"
"C11702","0402WGF1001TCE","UNI-ROYAL(Uniroyal Elec)","","0402","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 1kΩ 0402  Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.000600","$0.06"
"C25744","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)","","0402","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0402  Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.000700","$0.07"
"C25905","0402WGF5101TCE","UNI-ROYAL(Uniroyal Elec)","","0402","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 5.1kΩ 0402  Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.000600","$0.06"
"C84256","NCD0805R1","Foshan NationStar Optoelectronics","","0805","Red 0805  Light Emitting Diodes (LED) ROHS","YES","50","50\50","$0.013000","$0.65"
"C84257","NCD0805C1","Foshan NationStar Optoelectronics","","0805","Green/Yellow-Green 0805  Light Emitting Diodes (LED) ROHS","YES","50","50\50","$0.016800","$0.84"
"C165948","TYPE-C-31-M-12","Korean Hroparts Elec","","SMD","250mA 1 16 Female Type-C SMD  USB Connectors ROHS","YES","15","1\1","$0.219300","$3.29"
"C179173","W25Q32JVSSIQ","Winbond Elec","","SOIC-8"," SOIC-8  NOR FLASH ROHS","YES","10","1\1","$0.439300","$4.39"
"C9002","X322512MSB4SI","Yangxing Tech","","SMD3225-4P","12MHz SMD Crystal Resonator 20pF ±10ppm ±30ppm -40℃~+85℃ SMD3225-4P  Crystals ROHS","YES","10","5\5","$0.090200","$0.90"
"C5120796","AMS1117-3.3V","MSKSEMI","","SOT-89"," SOT-89  Linear Voltage Regulators (LDO) ROHS","YES","20","10\10","$0.074200","$1.48"
"C25100","0402WGF270JTCE","UNI-ROYAL(Uniroyal Elec)","","0402","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 27Ω 0402  Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.000500","$0.05"
